id,modelId,soundId,extendedDisplayInfoId,modelScale,modelAlpha,textureVariant_1,textureVariant_2,textureVariant_3,sizeClass,bloodId,npcSoundId
4,4,0,0,1,3.5733110840282835e-43,"","","",1,0,0
13,13,0,0,1,3.5733110840282835e-43,"","","",1,0,0
14,14,0,0,1,3.5733110840282835e-43,"","","",1,0,0
15,15,0,0,1,3.5733110840282835e-43,"","","",1,0,0
16,16,0,0,0,3.5733110840282835e-43,"","","",1,0,0
17,17,0,0,0,3.5733110840282835e-43,"","","",1,0,0
18,18,0,0,1,3.5733110840282835e-43,"","","",1,0,0
19,19,0,0,0,3.5733110840282835e-43,"","","",1,0,0
20,20,0,0,1,3.5733110840282835e-43,"","","",1,0,0
21,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
22,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
23,23,0,0,1,3.5733110840282835e-43,"","","",1,0,0
26,26,26,0,1,3.5733110840282835e-43,"koboldskinNormal","kobold2_hat01","",0,0,0
30,30,0,0,0.4000000059604645,3.5733110840282835e-43,"MineSpiderSkinSteel","","",1,0,0
31,31,0,0,1,3.5733110840282835e-43,"Sahauginskin","","",1,0,0
33,33,0,0,1,3.5733110840282835e-43,"OgreSkinBeige","OgreMageSkin2","",3,0,0
38,38,0,0,1.149999976158142,3.5733110840282835e-43,"TallStriderSkinTurquoise","","",-1,0,0
39,39,0,0,1,3.5733110840282835e-43,"","","",4,0,0
40,40,0,0,1,3.5733110840282835e-43,"TitanMaleSkin01","TitanMaleSkin02","",3,0,0
42,42,0,0,1,3.5733110840282835e-43,"TrollSkinJungleBloodScalpMelee","","",1,0,0
49,49,0,0,1,3.5733110840282835e-43,"","","",1,0,0
50,50,0,0,1,3.5733110840282835e-43,"","","",1,0,0
51,51,0,0,1,3.5733110840282835e-43,"","","",1,0,0
52,52,0,0,1,3.5733110840282835e-43,"","","",1,0,0
53,53,0,0,1,3.5733110840282835e-43,"","","",1,0,0
54,54,0,0,1,3.5733110840282835e-43,"","","",1,0,0
55,55,0,0,1,3.5733110840282835e-43,"","","",1,0,0
56,56,0,0,1,3.5733110840282835e-43,"","","",1,0,0
57,57,0,0,1,3.5733110840282835e-43,"","","",1,0,0
58,58,0,0,1,3.5733110840282835e-43,"","","",1,0,0
59,59,0,0,1.350000023841858,3.5733110840282835e-43,"","","",1,0,0
60,60,0,0,1,3.5733110840282835e-43,"","","",1,0,0
62,62,0,0,1.2999999523162842,3.5733110840282835e-43,"HydraSkinBlue","THUNDERHYDRA_HEAD_BLUE","",-1,0,0
64,64,0,0,1,3.5733110840282835e-43,"","","",1,0,0
65,65,0,0,1,3.5733110840282835e-43,"","","",1,0,0
68,68,0,0,1,3.5733110840282835e-43,"BalrogSkinBlue","BalrogWingBlue","",1,0,0
69,69,0,0,1,3.5733110840282835e-43,"RockElementalSkinBrown","","",1,0,0
71,71,0,0,1,3.5733110840282835e-43,"HarvestGolemSkinBrown","HarvestGolemBitsBrown","",1,0,0
73,73,0,0,1,3.5733110840282835e-43,"","","",1,0,0
74,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
79,79,0,0,1,3.5733110840282835e-43,"HumanMaleKidSkinPeach","","",1,0,0
80,80,0,0,1,3.5733110840282835e-43,"HumanFemaleKidfarmdress","","",1,0,0
86,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
87,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
88,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
89,89,0,0,1,3.5733110840282835e-43,"HumanMalePeasantLightSkin","HumanMalePeasantLogs","",1,0,161
91,91,0,0,1,3.5733110840282835e-43,"SilithidTankSkinViolet","","",1,0,0
92,92,0,0,1,3.5733110840282835e-43,"SilithidFlyerSkinPurple","","",1,0,0
93,93,0,0,1,3.5733110840282835e-43,"HumanFemaleMerchant01_GreenApron","","",1,0,0
94,94,0,0,1,3.5733110840282835e-43,"HumanFemaleFarmer_Bluedress","","",1,0,0
95,95,0,0,1,3.5733110840282835e-43,"HumanFemaleMerchant03Skin1","","",1,0,0
96,96,0,0,1,3.5733110840282835e-43,"","","",1,0,0
97,97,0,0,1,3.5733110840282835e-43,"HumanFemalePeasant_BlackDress","","",1,0,0
98,98,0,0,1,3.5733110840282835e-43,"HumanFemaleWarriorHeavy_SkinLight","","",1,0,0
99,99,0,0,1,3.5733110840282835e-43,"HumanFemaleWarriorLight_Skin01","","",1,0,0
100,100,0,0,1,3.5733110840282835e-43,"HumanFemaleWarriorMedium_SkinBronze","","",1,0,0
101,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
102,102,0,0,1,3.5733110840282835e-43,"HumanMaleFarmerSkin01","","",1,0,0
103,103,0,0,1,3.5733110840282835e-43,"HumanMaleMerchant03Skin1","","",1,0,0
104,104,0,0,1,3.5733110840282835e-43,"HumanMaleWarriorHeavy_Skin01","","",1,0,0
105,105,0,0,1,3.5733110840282835e-43,"HumanMaleWarriorMediumSkinDark","","",1,0,0
106,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
107,107,0,0,1,3.5733110840282835e-43,"HumanMaleWarriorLight_Skin01","","",1,0,0
108,108,0,0,1,3.5733110840282835e-43,"HumanMaleCaster_SkinMage","","",1,0,0
109,109,0,0,1,3.5733110840282835e-43,"HumanFemaleCaster_SkinPriest","","",1,0,0
110,110,0,0,1.5,3.5733110840282835e-43,"WaterElementalSkin","waterSpray5","Fire_Bright_Mod2x_A_blue",1,0,0
112,112,0,0,1,3.5733110840282835e-43,"BlackRockClanOrcWarriorSkin","","",1,0,0
113,113,0,0,1,3.5733110840282835e-43,"BlackRockClanOrcRunnerSkin","","",1,0,0
115,53,0,23,1,3.5733110840282835e-43,"DwarfMaleWarriorLightSkin2","","",1,0,0
123,123,0,0,1,3.5733110840282835e-43,"","","",1,0,0
125,125,0,0,1,3.5733110840282835e-43,"HumanMaleMarshalBlonde","","",1,0,0
126,22,0,0,1,3.5733110840282835e-43,"HumanMaleCitizenLow","","",1,0,0
127,127,0,0,1,3.5733110840282835e-43,"PirateCaptain01","","",1,0,0
128,128,0,0,1,3.5733110840282835e-43,"PirateCrewman02","","",1,0,0
129,129,0,0,1,3.5733110840282835e-43,"Swashbuckler02","","",1,0,0
130,130,0,0,1,3.5733110840282835e-43,"DreadLordSkin","DreadLordWingSkin","Dreadlord2_Skin_01_Glow",1,0,0
134,134,0,0,1.2999999523162842,3.5733110840282835e-43,"squirrel","","",0,0,0
137,45,0,0,1,3.5733110840282835e-43,"GhoulSkinGrey","","",1,0,0
138,40,0,0,1,3.5733110840282835e-43,"TitanMaleSkin01","TitanMaleSkin02","",3,0,0
139,26,26,0,1,3.5733110840282835e-43,"koboldskinNormal","kobold2_hat01","",0,0,0
140,39,0,0,1,3.5733110840282835e-43,"TitanFemaleSkinBronze1","TitanFemaleSkinBronze2","",4,0,0
141,1,0,0,1,3.5733110840282835e-43,"BasiliskSkinRed","BasiliskCrystalSkinJade","",-1,0,0
143,47,0,0,1,3.5733110840282835e-43,"DragonSpawnSkin","DragonSpawnBodySkin","",-1,0,0
145,8,0,0,1,3.5733110840282835e-43,"FurbolgSkinBrown","FurbolgStuffBrown","",1,0,0
146,9,0,0,1,3.5733110840282835e-43,"GhostSkin","","",-1,0,0
148,12,0,0,1,3.5733110840282835e-43,"HarpyAqua","","",1,0,0
