id,displayRaceId,displaySexId,skinId,faceId,hairStyleId,hairColorId,facialHairId,itemDisplayId_1,itemDisplayId_2,itemDisplayId_3,itemDisplayId_4,itemDisplayId_5,itemDisplayId_6,itemDisplayId_7,itemDisplayId_8,itemDisplayId_9,flags,bakeName
23,3,0,1,1,6,3,2,8815,8815,3900,0,8328,5848,8816,0,3052,0,"CreatureDisplayExtra-00023_HD.blp"
30,1,0,3,3,10,4,6,2952,0,1184,0,0,0,0,0,0,0,"CreatureDisplayExtra-00030_HD.blp"
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CREATUREDISPLAYEXTRA-00032_HD.BLP"
36,1,1,0,0,0,0,0,0,5248,5249,5250,4300,4304,4956,3379,5251,3864,"CreatureDisplayExtra-00036_HD.blp"
43,1,1,2,1,11,3,0,0,0,0,0,0,0,0,0,0,0,"CreatureDisplayExtra-00043_HD.blp"
45,1,0,0,8,0,0,2,0,7684,7676,7677,7678,7679,7680,0,7702,7683,"CreatureDisplayExtra-00045_HD.blp"
46,5,0,4,8,0,0,0,15911,0,5305,5306,5307,5308,8355,0,12873,0,"CreatureDisplayExtra-00046_HD.blp"
47,3,0,6,5,0,6,7,15907,0,5315,0,0,2610,3261,0,5444,0,"CreatureDisplayExtra-00047_HD.blp"
48,1,1,1,1,1,0,0,5330,5316,5317,5318,0,5320,5331,5322,5332,5324,"CreatureDisplayExtra-00048_HD.blp"
49,3,0,0,5,0,1,3,15491,0,11417,0,4888,4310,7458,0,0,0,"CreatureDisplayExtra-00049_HD.blp"
50,3,0,0,3,8,1,1,0,0,5326,0,3553,4310,4307,0,0,0,"CreatureDisplayExtra-00050_HD.blp"
52,4,0,5,1,3,3,2,0,0,5340,0,0,5341,9915,0,0,0,"CreatureDisplayExtra-00052_HD.blp"
53,3,1,2,1,3,3,0,0,0,5343,0,5344,1818,4586,0,0,0,"CreatureDisplayExtra-00053_HD.blp"
54,1,0,4,10,3,9,2,0,0,0,5345,0,5346,5347,3897,0,0,"CreatureDisplayExtra-00054_HD.blp"
56,1,1,3,2,14,0,0,0,0,13620,0,7619,2318,5856,0,13621,0,"CreatureDisplayExtra-00056_HD.blp"
57,1,0,2,10,6,1,4,0,0,0,5350,0,5297,5351,0,0,0,"CreatureDisplayExtra-00057_HD.blp"
58,1,0,1,2,1,4,1,0,0,13516,13517,4989,1882,6060,5355,0,0,"CreatureDisplayExtra-00058_HD.blp"
59,1,0,0,9,8,9,8,0,0,0,8444,5865,7587,8268,0,0,0,"CreatureDisplayExtra-00059_HD.blp"
60,1,0,2,0,1,3,6,0,0,9745,0,0,2318,4272,0,0,0,"CreatureDisplayExtra-00060_HD.blp"
61,1,0,0,9,8,7,8,0,0,10697,10708,0,8409,4921,0,0,0,"CreatureDisplayExtra-00061_HD.blp"
62,1,0,9,0,0,2,5,0,0,4299,0,0,2185,4272,0,0,0,"CreatureDisplayExtra-00062_HD.blp"
63,1,0,3,11,5,4,3,0,0,3552,0,0,5346,2496,0,0,0,"CreatureDisplayExtra-00063_HD.blp"
64,1,0,0,10,11,9,3,0,0,0,5364,4858,5365,5366,0,0,0,"CreatureDisplayExtra-00064_HD.blp"
65,1,1,1,3,17,2,0,0,0,0,5367,5368,5369,5370,0,0,0,"CreatureDisplayExtra-00065_HD.blp"
66,1,1,1,1,2,5,0,0,0,13641,13642,4444,13643,8065,0,0,0,"CreatureDisplayExtra-00066_HD.blp"
67,1,1,2,10,7,0,0,0,0,13521,0,4599,3078,2990,0,1796,0,"CreatureDisplayExtra-00067_HD.blp"
68,1,0,2,1,1,2,0,0,0,13003,9009,8347,5236,5380,0,0,0,"CreatureDisplayExtra-00068_HD.blp"
69,1,0,3,2,2,1,6,0,5381,1185,2257,4847,697,1981,0,2362,0,"CreatureDisplayExtra-00069_HD.blp"
70,1,1,3,9,11,4,0,0,5384,5385,5386,3418,3414,5387,5388,5389,0,"CreatureDisplayExtra-00070_HD.blp"
71,2,0,6,4,5,5,3,0,0,8156,0,8135,7939,7782,0,0,0,"CreatureDisplayExtra-00071_HD.blp"
73,2,1,1,5,2,0,6,0,0,8180,0,8943,6300,7750,0,9170,0,"CreatureDisplayExtra-00073_HD.blp"
74,2,0,3,8,4,1,1,0,0,9171,0,8157,7781,7782,0,0,0,"CreatureDisplayExtra-00074_HD.blp"
75,2,0,1,0,3,3,0,0,0,9172,0,8135,7939,9173,0,0,0,"CreatureDisplayExtra-00075_HD.blp"
77,2,0,3,7,2,5,9,0,0,12826,0,11997,12614,9184,0,12248,0,"CreatureDisplayExtra-00077_HD.blp"
78,2,0,7,0,2,3,1,0,5892,19319,0,9047,7765,6198,8197,0,0,"CreatureDisplayExtra-00078_HD.blp"
79,2,0,2,3,1,0,4,0,0,9172,0,9401,19317,11900,0,0,0,"CreatureDisplayExtra-00079_HD.blp"
81,2,1,0,7,1,2,3,0,0,19318,0,8196,9541,11348,0,0,0,"CreatureDisplayExtra-00081_HD.blp"
83,2,0,3,0,4,6,4,0,0,7552,0,9183,6300,13350,0,0,0,"CreatureDisplayExtra-00083_HD.blp"
84,6,1,5,3,5,1,3,0,0,9185,0,9186,9187,0,0,0,0,"CreatureDisplayExtra-00084_HD.blp"
85,2,0,6,6,5,2,6,0,0,0,8738,9189,10972,9191,0,0,0,"CreatureDisplayExtra-00085_HD.blp"
