id,name,fileName,areaEffectSize,scale
1,"zzOLD__FireShield_Cast_Base","Particles\FireShield_Cast_Base.mdl",4,1
2,"FireBolt Impact Chest","Spells\FireBolt_ImpactDD_Med_Chest.mdx",4,1
3,"zzOLD__Heal","Spells\Heal\Heal.mdl",4,1
4,"zzOLD__HealCast","Spells\HealCast\HealCast.mdl",4,1
6,"Teleport In","Spells\TeleportIn\TeleportIn.mdx",4,1
10,"zzOLD__Teleport Cast","Spells\TeleportCast\TeleportCast.mdl",4,1
11,"Footstep Spray Snow Run","Particles\FootstepSpraySnow.mdl",4,1
12,"Footstep Spray Snow Walk","Particles\FootstepSpraySnowWalk.mdl",4,1
14,"HARDCODED Loot Art","Particles\LootFX.mdl",0,1
17,"Shadow Precast Low Hand","Spells\Shadow_Precast_Low_Hand.mdx",4,1
18,"zzOLD__Death Touch Cast","Spells\DeathTouchCast\DeathTouchCast.mdl",4,1
20,"zzOLD__Heal Hands","Spells\HealHands\HealHands.mdl",4,1
21,"HARDCODED Unit Level Up","Spells\LevelUp\LevelUp.mdl",0,1
23,"zzOLD__FreezingFinger2_Impact_Head","Particles\FreezingFinger2_Impact_Head.MDL",0,1
24,"zzOLD__FreezingFinger_Impact_Chest","Particles\FreezingFinger_Impact_Chest.MDL",0,1
25,"zzOLD__FreezingFinger_Impact_Base","Particles\FreezingFinger_Impact_Base.MDL",0,1
26,"zzOLD__FrostCastConeofCold","Particles\FrostCastConeofCold.MDL",0,1
27,"zzOLD__Portal","Spells\Summon03\Summon03.mdl",0,1
28,"zzOLD__Numb_Impact_Base","Particles\Numb_Impact_Base.MDL",0,1
29,"zzOLD__FreezingCloud_Impact_Base","Particles\FreezingCloud_Impact_Base.MDL",0,1
30,"zzOLD__Numb_Precast_Hand","Particles\Numb_Precast_Hand.MDL",0,1
32,"zzOLD__FrostBolt Missle","Particles\FrostBolt_Missle.mdl",0,1
33,"zzOLD__FrostBlast_Precast_Hand","Particles\FrostBlast_Precast_Hand.MDL",0,1
34,"zzOLD__FrostBolt Impact","Particles\FrostBolt_Impact_Chest.mdl",0,1
36,"zzOLD__Freeze_Impact_Base","Particles\Freeze_Impact_Base.MDL",0,1
37,"zzOLD__Freeze_Impact_Chest","Particles\Freeze_Impact_Chest.MDL",0,1
38,"zzOLD__FrostArmor_Impact_Head","Particles\FrostArmor_Impact_Head.MDL",0,1
39,"zzOLD__FrostNova_Impact_Chest","Particles\FrostNova_Impact_Chest.MDL",0,1
40,"zzOLD__FreezeNova_Impact_Chest","Particles\FreezeNova_Impact_Chest.MDL",0,1
41,"zzOLD__FreezingFinger4_Impact_Head","Particles\FreezingFinger4_Impact_Head.mdl",0,1
42,"zzOLD__StarStun_State_Head","Particles\StarStun.MDL",0,1
43,"zzOLD__CorrodeArmor_Impact_Head","Particles\CorrodeArmor_Impact_Head.MDL",0,1
44,"zzOLD__Slow Hands","Particles\Slow_Hands.mdl",0,1
45,"Fire Precast Low Hand","Spells\Fire_Precast_Low_Hand.mdx",0,1
46,"zzOLD__BurningBlast_Precast_Base","Particles\BurningBlast_Precast_Base.MDL",0,1
47,"zzOLD__WallofFire_area","Particles\WallofFire_area.mdl",0,1
48,"zzOLD__BoltofIce_Impact_Chest","Particles\BoltofIce_Impact_Chest.mdl",0,1
49,"zzOLD__FrostBlast_Precast_Base","Particles\FrostBlast_Precast_Base.mdl",0,1
50,"StunSwirl State Head","Spells\StunSwirl_State_Head.mdx",0,1
51,"zzOLD__WalkofFire","Particles\WalkofFire_area.mdl",0,2
53,"zzOLD__Frost_Precast_Base","Particles\Frost_Precast_Base.mdl",0,1
54,"Ice Precast Uber Head","Spells\Ice_Precast_Uber_Head.mdx",0,1
55,"Combat Blood Spurt Back Large Red","Particles\BloodSpurts\BloodSpurtLarge.mdx",10,1
56,"zzOLD__BoltofFire_missle","Particles\BoltofFire_missle.mdl",0,1
57,"zzOLD__FireShield_Impact_Base","Particles\FireShield_Impact_Base.mdl",0,1
58,"zzOLD__Frost_Cast_Chest","Particles\Frost_Cast_Chest.mdl",0,1
