id,startAnimationId,animationId,animationKitId,headEffect,chestEffect,baseEffect,leftHandEffect,rightHandEffect,breathEffect,leftWeaponEffect,rightWeaponEffect,specialEffect_1,specialEffect_2,specialEffect_3,worldEffect,soundId,shakeId,characterProc_1,characterProc_2,characterProc_3,characterProc_4,paramZero_1,paramZero_2,paramZero_3,paramZero_4,paramOne_1,paramOne_2,paramOne_3,paramOne_4,paramTwo_1,paramTwo_2,paramTwo_3,paramTwo_4,flags
1,0,32,1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,1065353216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,54,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,32,2,-1,-1,-1,1,-1,-1,-1,-1,-1,7,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,32,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,32,-1,-1,-1,18,18,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1144,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,1092616192,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9,1,-1,41,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,53,-1,-1,-1,64,64,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,53,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,51,-1,-1,-1,63,63,-1,-1,-1,-1,-1,703,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,23,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,54,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,51,-1,-1,-1,30,30,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,51,-1,-1,-1,63,63,-1,-1,-1,-1,-1,703,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,22,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2560,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,-1,-1,37,36,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,-1,-1,37,36,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,-1,-1,374,-1,-1,-1,-1,-1,-1,-1,-1,29,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,14,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,1509,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,-1,-1,230,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,51,-1,-1,-1,287,287,-1,-1,-1,-1,-1,702,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,52,-1,-1,-1,63,63,-1,-1,-1,-1,-1,703,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,53,-1,-1,-1,-1,146,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,14,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,-1,23,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,51,-1,-1,-1,63,63,-1,-1,-1,-1,-1,20,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,51,-1,-1,-1,146,146,-1,-1,-1,-1,-1,27,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,53,-1,-1,-1,73,73,-1,-1,-1,-1,-1,2561,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,53,-1,-1,-1,288,288,-1,-1,-1,-1,-1,1484,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,54,-1,-1,-1,45,45,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,51,-1,-1,-1,45,45,-1,-1,-1,-1,-1,51,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,53,-1,-1,-1,45,45,-1,-1,-1,-1,-1,51,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,-1,-1,-1,371,-1,-1,-1,-1,-1,-1,-1,3116,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,-1,-1,634,1303,2724,2724,2724,-1,-1,-1,-1,3330,0,8,-1,-1,-1,1264257808,0,0,0,20,0,0,0,1000,0,0,0,100,0,0,0
